id,author,publisher,booktitle,language,mainImage,price,quantity,desc
2510,Philippa Gregory,2010,"The Red Queen (The Plantagenet and Tudor Novels, #3)",eng,https://images.gr-assets.com/books/1281335912m/7148256.jpg,30000,50,Ok
2511,Julie James,2010,"Something About You (FBI/US Attorney, #1)",eng,https://images.gr-assets.com/books/1327933063m/6642402.jpg,30000,50,Ok
2512,Dr. Seuss,1970,Mr. Brown Can Moo! Can You?,en-US,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,30000,50,Ok
2513,"Stephen King, Peter Straub",2001,"Black House (The Talisman, #2)",eng,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,30000,50,Ok
2514,"Neil Gaiman, Andy Kubert, Richard Isanove, Peter Sanderson",2003,Marvel 1602,eng,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,30000,50,Ok
2515,Vince Flynn,2006,"Act of Treason (Mitch Rapp, #9)",en-US,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,30000,50,Ok
2516,Peter Heller,2012,The Dog Stars,,https://images.gr-assets.com/books/1388122817m/13330761.jpg,30000,50,Ok
2517,John le Carré,1963,The Spy Who Came In from the Cold,eng,https://images.gr-assets.com/books/1327719782m/19494.jpg,30000,50,Ok
2518,Jim Butcher,2005,"Academ's Fury (Codex Alera, #2)",eng,https://images.gr-assets.com/books/1381026900m/133664.jpg,30000,50,Ok
2519,James Patterson,1998,"When the Wind Blows (When the Wind Blows, #1)",eng,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,30000,50,Ok
2520,"Haruki Murakami, 村上 春樹",2009,"1Q84 BOOK 1 (1Q84, #1)",jpn,https://images.gr-assets.com/books/1329955413m/6443834.jpg,30000,50,Ok
2521,"Paulo Coelho, Alan R. Clarke",1987,The Pilgrimage,eng,https://images.gr-assets.com/books/1307909268m/4004.jpg,30000,50,Ok
2522,Lee Child,2006,"The Hard Way (Jack Reacher, #10)",en-US,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,30000,50,Ok
2523,Sheila Burnford,1960,The Incredible Journey,eng,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,30000,50,Ok
2524,Geraldine Brooks,2004,March,en-US,https://images.gr-assets.com/books/1327935441m/13529.jpg,30000,50,Ok
2525,"Lee Child, Dick Hill",2012,"A Wanted Man (Jack Reacher, #17)",eng,https://images.gr-assets.com/books/1333623254m/13359067.jpg,30000,50,Ok
2526,"Grant Morrison, Frank Quitely",2007,"All-Star Superman, Vol. 1",eng,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,30000,50,Ok
2527,George R.R. Martin,2000,"A Song of Ice and Fire (A Song of Ice and Fire, #1-5)",eng,https://images.gr-assets.com/books/1339340118m/12177850.jpg,30000,50,Ok
2528,Nora Roberts,2013,"Dark Witch (The Cousins O'Dwyer Trilogy, #1)",eng,https://images.gr-assets.com/books/1480131721m/16158558.jpg,30000,50,Ok
2529,Alyson Noel,2010,"Dark Flame (The Immortals, #4)",eng,https://images.gr-assets.com/books/1362336376m/7198988.jpg,30000,50,Ok
2530,Fiona Barton,2016,The Widow,eng,https://images.gr-assets.com/books/1449178687m/25734248.jpg,30000,50,Ok
2531,Patrick Carman,2009,"The Black Circle (The 39 Clues, #5)",en-US,https://images.gr-assets.com/books/1357211043m/6255144.jpg,30000,50,Ok
2532,Kiera Cass,2013,"The Prince (The Selection, #0.5)",,https://images.gr-assets.com/books/1354127071m/15820748.jpg,30000,50,Ok
2533,Marie Rutkoski,2014,"The Winner's Curse (The Winner's Trilogy, #1)",eng,https://images.gr-assets.com/books/1377023523m/16069030.jpg,30000,50,Ok
2534,Sapphire,1996,Push,eng,https://images.gr-assets.com/books/1414633395m/71332.jpg,30000,50,Ok
2535,"Elena Ferrante, Ann Goldstein",2012,The Story of a New Name (The Neapolitan Novels #2),eng,https://images.gr-assets.com/books/1501012849m/17465515.jpg,30000,50,Ok
2536,Arthur C. Clarke,1982,"2010: Odyssey Two (Space Odyssey, #2)",eng,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,30000,50,Ok
2537,Atsushi Ohkubo,2004,"Soul Eater, Vol. 01 (Soul Eater, #1)",en-US,https://images.gr-assets.com/books/1443900841m/6406018.jpg,30000,50,Ok
2538,William Kent Krueger,2013,Ordinary Grace,eng,https://images.gr-assets.com/books/1358264094m/15803059.jpg,30000,50,Ok
2539,David Baldacci,2001,Last Man Standing,eng,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,30000,50,Ok
2540,Gene Luen Yang,2006,American Born Chinese,eng,https://images.gr-assets.com/books/1317066615m/118944.jpg,30000,50,Ok
2541,"Eugene Bradley Coco, Ron Dias, Walt Disney Company",1960,Peter Pan (A Little Golden Book),eng,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,30000,50,Ok
2542,K.A. Tucker,2012,"Ten Tiny Breaths (Ten Tiny Breaths, #1)",eng,https://images.gr-assets.com/books/1368808763m/15990969.jpg,30000,50,Ok
2543,David Mitchell,2010,The Thousand Autumns of Jacob de Zoet,eng,https://images.gr-assets.com/books/1320540908m/7141642.jpg,30000,50,Ok
2544,Christopher Marlowe,1604,Dr. Faustus,eng,https://images.gr-assets.com/books/1392156779m/18525.jpg,30000,50,Ok
2545,Sherrilyn Kenyon,2003,Dance with the Devil (Dark-Hunter #3),eng,https://images.gr-assets.com/books/1388703603m/84145.jpg,30000,50,Ok
2546,Candace Bushnell,2005,Lipstick Jungle,eng,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,30000,50,Ok
2547,James Patterson,2001,"Violets Are Blue (Alex Cross, #7)",eng,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,30000,50,Ok
2548,"Anthony Robbins, Tony Robbins, Frederick L. Covan",1992,"Awaken the Giant Within: How to Take Immediate Control of Your Mental, Emotional, Physical and Financial Destiny!",eng,https://images.gr-assets.com/books/1415677371m/180116.jpg,30000,50,Ok
2549,Laurell K. Hamilton,1998,"Blue Moon (Anita Blake, Vampire Hunter, #8)",en-US,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,30000,50,Ok
2550,Laurell K. Hamilton,1998,"Burnt Offerings (Anita Blake, Vampire Hunter, #7)",en-US,https://images.gr-assets.com/books/1289528358m/30242.jpg,30000,50,Ok
2551,Diane Chamberlain,2014,"The Silent Sister (Riley MacPherson, #1)",eng,https://images.gr-assets.com/books/1406526579m/19286669.jpg,30000,50,Ok
2552,Kurt Vonnegut Jr.,1952,Player Piano,eng,https://images.gr-assets.com/books/1488041609m/9597.jpg,30000,50,Ok
2553,Arthur Conan Doyle,1912,"The Lost World (Professor Challenger, #1)",,https://images.gr-assets.com/books/1320504012m/10155.jpg,30000,50,Ok
2554,Terry Pratchett,2003,"Monstrous Regiment (Discworld, #31; Industrial Revolution, #3)",eng,https://images.gr-assets.com/books/1375908503m/34511.jpg,30000,50,Ok
2555,Octavia E. Butler,1979,Kindred,eng,https://images.gr-assets.com/books/1339423248m/60931.jpg,30000,50,Ok
2556,"Laura Ingalls Wilder, Garth Williams",1940,"The Long Winter (Little House, #6)",,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,30000,50,Ok
2557,"Henry Cloud, John Townsend",1992,"Boundaries: When to Say Yes, How to Say No to Take Control of Your Life",en-US,https://images.gr-assets.com/books/1406403521m/525488.jpg,30000,50,Ok
2558,Maggie Stiefvater,2014,"Blue Lily, Lily Blue (The Raven Cycle, #3)",eng,https://images.gr-assets.com/books/1477103826m/17378508.jpg,30000,50,Ok
2559,"Philip Roth, Luca Marinelli",1969,Portnoy's Complaint,,https://images.gr-assets.com/books/1327929440m/43945.jpg,30000,50,Ok
2560,"John C. Maxwell, Zig Ziglar",1998,The 21 Irrefutable Laws of Leadership: Follow Them and People Will Follow You,eng,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,30000,50,Ok
2561,Margaret Atwood,1988,Cat's Eye,eng,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,30000,50,Ok
2562,J. Sterling,2012,"The Perfect Game (The Perfect Game, #1)",eng,https://images.gr-assets.com/books/1345824139m/15783307.jpg,30000,50,Ok
2563,Patrick Ness,2010,"Monsters of Men (Chaos Walking, #3)",eng,https://images.gr-assets.com/books/1467392755m/7540092.jpg,30000,50,Ok
2564,Orson Scott Card,2005,"Shadow of the Giant (Ender's Shadow, #4)",eng,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,30000,50,Ok
2565,Brian Selznick,2011,Wonderstruck,eng,https://images.gr-assets.com/books/1327885739m/10128428.jpg,30000,50,Ok
2566,Sarah Ban Breathnach,1995,Simple Abundance:  A Daybook of Comfort and Joy,en-US,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,30000,50,Ok
2567,Moira Young,2011,"Blood Red Road (Dust Lands, #1)",eng,https://images.gr-assets.com/books/1293651959m/9917938.jpg,30000,50,Ok
2568,"James Patterson, Maxine Paetro",2007,"The 6th Target (Women's Murder Club, #6)",en-US,https://images.gr-assets.com/books/1336275870m/13131.jpg,30000,50,Ok
2569,"Edgar Rice Burroughs, John Seelye",1912,"A Princess of Mars (Barsoom, #1)",en-GB,https://images.gr-assets.com/books/1332272118m/40395.jpg,30000,50,Ok
2570,Margaret Atwood,2013,"MaddAddam (MaddAddam, #3)",eng,https://images.gr-assets.com/books/1366394020m/17262203.jpg,30000,50,Ok
2571,"Laura Ingalls Wilder, Garth Williams",1943,"These Happy Golden Years (Little House, #8)",eng,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,30000,50,Ok
2572,Victoria Finlay,2003,Color: A Natural History of the Palette,en-US,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,30000,50,Ok
2573,John Grisham,2001,Skipping Christmas,eng,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,30000,50,Ok
2574,Michael Connelly,1993,"The Black Ice (Harry Bosch, #2; Harry Bosch Universe, #2)",eng,https://images.gr-assets.com/books/1372241876m/24244.jpg,30000,50,Ok
2575,Kristin Hannah,2012,Home Front,eng,https://images.gr-assets.com/books/1344319152m/12022079.jpg,30000,50,Ok
2576,Christina Lauren,2013,"Beautiful Stranger (Beautiful Bastard, #2)",eng,https://images.gr-assets.com/books/1359073239m/16117506.jpg,30000,50,Ok
2577,Libba Bray,2007,"The Sweet Far Thing (Gemma Doyle, #3)",eng,https://images.gr-assets.com/books/1358704741m/127459.jpg,30000,50,Ok
2578,Ernest J. Gaines,1993,A Lesson Before Dying,en-US,https://images.gr-assets.com/books/1405866945m/5197.jpg,30000,50,Ok
2579,David Sedaris,1998,SantaLand Diaries,en-US,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,30000,50,Ok
2580,Nicholas Sparks,2015,See Me,eng,https://images.gr-assets.com/books/1439564033m/24820165.jpg,30000,50,Ok
2581,Sophie Kinsella,2010,"Mini Shopaholic (Shopaholic, #6)",eng,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,30000,50,Ok
2582,"Gene Zion, Margaret Bloy Graham",1956,Harry the Dirty Dog,en-US,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,30000,50,Ok
2583,Jennifer Weiner,2014,All Fall Down,eng,https://images.gr-assets.com/books/1394567549m/18144115.jpg,30000,50,Ok
2584,George Orwell,1933,Down and Out in Paris and London,en-US,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,30000,50,Ok
2585,Hiro Fujiwara,2006,"Maid-sama! Vol. 01 (Maid-sama!, #1)",eng,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,30000,50,Ok
2586,Nick Bantock,1991,Griffin and Sabine (Griffin & Sabine #1),eng,https://images.gr-assets.com/books/1356716196m/381102.jpg,30000,50,Ok
2587,Leigh Bardugo,2014,"Ruin and Rising (Shadow and Bone, #3)",eng,https://images.gr-assets.com/books/1392398530m/14061957.jpg,30000,50,Ok
2588,أحمد خالد توفيق,2008,يوتوبيا,ara,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,30000,50,Ok
2589,Jennifer Weiner,2000,Certain Girls (Cannie Shapiro #2),eng,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,30000,50,Ok
2590,Cheryl Strayed,2012,Tiny Beautiful Things: Advice on Love and Life from Dear Sugar,,https://images.gr-assets.com/books/1339807006m/13152194.jpg,30000,50,Ok
2591,Karen Marie Moning,1999,"Beyond the Highland Mist (Highlander, #1)",eng,https://images.gr-assets.com/books/1348924088m/743599.jpg,30000,50,Ok
2592,Ann Rule,1980,The Stranger Beside Me: Ted Bundy The Shocking Inside Story,en-GB,https://images.gr-assets.com/books/1330072383m/15654.jpg,30000,50,Ok
2593,Claudia Gray,2009,"Stargazer (Evernight, #2)",eng,https://images.gr-assets.com/books/1306376986m/3054684.jpg,30000,50,Ok
2594,Michael Crichton,1992,Rising Sun,eng,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,30000,50,Ok
2595,Sidney Sheldon,1973,The Other Side of Midnight (Midnight #1),eng,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,30000,50,Ok
2596,Michael Connelly,2010,"The Reversal (Harry Bosch, #16; Mickey Haller, #4; Harry Bosch Universe, #19)",eng,https://images.gr-assets.com/books/1421934033m/7936809.jpg,30000,50,Ok
2597,"Louis Sachar, Joel Schick",1989,Wayside School Is Falling Down (Wayside School #2),eng,https://images.gr-assets.com/books/1405055796m/10065.jpg,30000,50,Ok
2598,"Julie Orringer, Arthur Morey",2010,The Invisible Bridge,eng,https://images.gr-assets.com/books/1274139506m/7274337.jpg,30000,50,Ok
2599,Pittacus Lore,2013,"The Fall of Five (Lorien Legacies, #4)",eng,https://images.gr-assets.com/books/1375365364m/15861491.jpg,30000,50,Ok
2600,"Thomas Hardy, Keith Wilson",1886,The Mayor of Casterbridge,eng,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,30000,50,Ok
2601,John Steinbeck,1933,The Red Pony,,https://images.gr-assets.com/books/1391231816m/8732.jpg,30000,50,Ok
2602,Jo Nesbø,2003,"The Devil's Star (Harry Hole, #5)",eng,https://images.gr-assets.com/books/1328611163m/498389.jpg,30000,50,Ok
2603,Alice Hoffman,1997,Here on Earth,eng,https://images.gr-assets.com/books/1388299278m/5159.jpg,30000,50,Ok
2604,"Anne Rice, Tim Curry",1994,"Taltos (Lives of the Mayfair Witches, #3)",,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,30000,50,Ok
2605,Laurell K. Hamilton,2000,"Obsidian Butterfly (Anita Blake, Vampire Hunter, #9)",eng,https://images.gr-assets.com/books/1327139907m/190361.jpg,30000,50,Ok
2606,Peter V. Brett,2013,"The Daylight War (Demon Cycle, #3)",eng,https://images.gr-assets.com/books/1360777092m/9268487.jpg,30000,50,Ok
2607,John Grisham,2008,The Appeal,en-US,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,30000,50,Ok
2608,Tamora Pierce,1986,"The Woman Who Rides Like a Man (Song of the Lioness, #3)",en-US,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,30000,50,Ok
2609,Ben Aaronovitch,2011,"Midnight Riot (Peter Grant, #1)",eng,https://images.gr-assets.com/books/1389055317m/8680417.jpg,30000,50,Ok
2610,Marian Keyes,1996,Lucy Sullivan Is Getting Married,en-US,https://images.gr-assets.com/books/1407707569m/9303.jpg,30000,50,Ok
2611,Terry Pratchett,2004,"A Hat Full of Sky (Discworld, #32; Tiffany Aching, #2)",eng,https://images.gr-assets.com/books/1319037274m/34501.jpg,30000,50,Ok
2612,Vikram Seth,1993,"A Suitable Boy (A Suitable Boy, #1)",en-US,https://images.gr-assets.com/books/1329421639m/50365.jpg,30000,50,Ok
2613,Chimamanda Ngozi Adichie,2014,We Should All Be Feminists,eng,https://images.gr-assets.com/books/1430821222m/22738563.jpg,30000,50,Ok
2614,Patricia Briggs,2011,"River Marked (Mercy Thompson, #6)",en-GB,https://images.gr-assets.com/books/1305738320m/8087906.jpg,30000,50,Ok
2615,Amy Sedaris,2006,I Like You: Hospitality Under the Influence,eng,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,30000,50,Ok
2616,William Gibson,2003,"Pattern Recognition (Blue Ant, #1)",eng,https://images.gr-assets.com/books/1288326931m/22320.jpg,30000,50,Ok
2617,Peter  Swanson,2015,The Kind Worth Killing,eng,https://images.gr-assets.com/books/1417981750m/21936809.jpg,30000,50,Ok
2618,Patricia Schultz,2003,"1,000 Places to See Before You Die",,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,30000,50,Ok
2619,"Angie Sage, Mark Zug",2007,"Physik (Septimus Heap, #3)",en-US,https://images.gr-assets.com/books/1398052658m/355916.jpg,30000,50,Ok
2620,"Roald Dahl, Quentin Blake",1984,Boy: Tales of Childhood,eng,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,30000,50,Ok
2621,Anne Lamott,1999,Traveling Mercies: Some Thoughts on Faith,en-CA,https://images.gr-assets.com/books/1403182174m/10890.jpg,30000,50,Ok
2622,Vince Flynn,2004,"Memorial Day (Mitch Rapp, #7)",eng,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,30000,50,Ok
2623,Tamora Pierce,1992,"Wild Magic (Immortals, #1)",en-US,https://images.gr-assets.com/books/1166573613m/13836.jpg,30000,50,Ok
2624,Isaac Asimov,1988,Prelude to Foundation,eng,https://images.gr-assets.com/books/1335782474m/30013.jpg,30000,50,Ok
2625,Max Lucado,1997,"You Are Special (Wemmicksville, #1)",eng,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,30000,50,Ok
2626,Renee Ahdieh,2015,"The Wrath and the Dawn (The Wrath and the Dawn, #1)",eng,https://images.gr-assets.com/books/1417956963m/18798983.jpg,30000,50,Ok
2627,"Nicholas D. Kristof, Sheryl WuDunn",2008,Half the Sky: Turning Oppression into Opportunity for Women Worldwide,eng,https://images.gr-assets.com/books/1320486170m/6260997.jpg,30000,50,Ok
2628,"Daniel Handler, Maira Kalman",2011,Why We Broke Up,eng,https://images.gr-assets.com/books/1348728685m/10798418.jpg,30000,50,Ok
2629,Sarah J. Maas,2014,"The Assassin's Blade (Throne of Glass, #0.1-0.5)",eng,https://images.gr-assets.com/books/1384362444m/18243700.jpg,30000,50,Ok
2630,Curtis Sittenfeld,2008,American Wife,eng,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,30000,50,Ok
2631,Jim Butcher,2006,"Cursor's Fury (Codex Alera, #3)",eng,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,30000,50,Ok
2632,Mary Doria Russell,1996,"The Sparrow (The Sparrow, #1)",eng,https://images.gr-assets.com/books/1230829367m/334176.jpg,30000,50,Ok
2633,Jodi Picoult,1996,Mercy,en-GB,https://images.gr-assets.com/books/1299040130m/10910.jpg,30000,50,Ok
2634,Charlie N. Holmberg,2014,"The Paper Magician (The Paper Magician Trilogy, #1)",eng,https://images.gr-assets.com/books/1405618531m/20727654.jpg,30000,50,Ok
2635,Steve Harvey,2009,"Act Like a Lady, Think Like a Man: What Men Really Think About Love, Relationships, Intimacy, and Commitment",,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,30000,50,Ok
2636,Candice Millard,2011,"Destiny of the Republic: A Tale of Madness, Medicine and the Murder of a President",en-US,https://images.gr-assets.com/books/1327883084m/10335318.jpg,30000,50,Ok
2637,"Shirley Jackson, Jonathan Lethem",1962,We Have Always Lived in the Castle,eng,https://images.gr-assets.com/books/1415357189m/89724.jpg,30000,50,Ok
2638,Emerson Eggerichs,2004,Love and Respect: The Love She Most Desires; The Respect He Desperately Needs,,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,30000,50,Ok
2639,Michael Connelly,2008,"The Brass Verdict (Harry Bosch, #14; Mickey Haller, #2; Harry Bosch Universe, #17)",eng,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,30000,50,Ok
2640,Timothy Zahn,1992,Dark Force Rising,en-US,https://images.gr-assets.com/books/1451092000m/216442.jpg,30000,50,Ok
2641,Lee Child,2013,"Never Go Back (Jack Reacher, #18)",eng,https://images.gr-assets.com/books/1467947214m/17262159.jpg,30000,50,Ok
2642,Gail Carson Levine,2001,The Two Princesses of Bamarre,eng,https://images.gr-assets.com/books/1442734248m/183656.jpg,30000,50,Ok
2643,"Richard Wright, Jerry W. Ward Jr.",1945,Black Boy,en-US,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,30000,50,Ok
2644,Lalita Tademy,2001,Cane River,en-US,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,30000,50,Ok
2645,Terry Goodkind,2006,"Phantom (Sword of Truth, #10)",,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,30000,50,Ok
2646,Isaac Asimov,1986,Foundation and Earth (Foundation #5),eng,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,30000,50,Ok
2647,"James D. Bradley, Ron Powers",2000,Flags of Our Fathers,,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,30000,50,Ok
2648,"A.A. Milne, Ernest H. Shepard",1926,"The World of Winnie-the-Pooh (Winnie-the-Pooh, #1-2)",eng,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,30000,50,Ok
2649,Mahatma Gandhi,1940,The Story of My Experiments With Truth,eng,https://images.gr-assets.com/books/1320560971m/112803.jpg,30000,50,Ok
2650,"Lance Armstrong, Sally Jenkins",1999,It's Not About the Bike: My Journey Back to Life,en-US,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,30000,50,Ok
2651,Stephen E. Ambrose,1996,Undaunted Courage: The Pioneering First Mission to Explore America's Wild Frontier,eng,https://images.gr-assets.com/books/1408925996m/45546.jpg,30000,50,Ok
2652,Helen Macdonald,2015,H is for Hawk,eng,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,30000,50,Ok
2653,David Nicholls,2014,Us,eng,https://images.gr-assets.com/books/1406116779m/21423525.jpg,30000,50,Ok
2654,R.A. Salvatore,1990,"Sojourn (Forgotten Realms: The Dark Elf Trilogy, #3; Legend of Drizzt, #3)",eng,https://images.gr-assets.com/books/1322861953m/66695.jpg,30000,50,Ok
2655,"Christopher Yost, Orson Scott Card, Pasqual Ferry, Frank D'Armata",2009,"Ender's Game, Volume 1: Battle School (Ender's Saga)",en-US,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,30000,50,Ok
2656,"Karuho Shiina, Tomo Kimura",2006,"Kimi ni Todoke: From Me to You, Vol. 1",eng,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,30000,50,Ok
2657,Dean Koontz,1999,False Memory,en-US,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,30000,50,Ok
2658,Terry Pratchett,1990,"Moving Pictures (Discworld, #10; Industrial Revolution, #1)",eng,https://images.gr-assets.com/books/1320456553m/34510.jpg,30000,50,Ok
2659,C.J. Roberts,2011,"Captive in the Dark (The Dark Duet, #1)",eng,https://images.gr-assets.com/books/1315343569m/12513614.jpg,30000,50,Ok
2660,James Allen,1902,As a Man Thinketh,eng,https://images.gr-assets.com/books/1303439193m/81959.jpg,30000,50,Ok
2661,Mary Roach,2008,Bonk: The Curious Coupling of Science and Sex,en-US,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,30000,50,Ok
2662,Rachel Caine,2007,"Midnight Alley (The Morganville Vampires, #3)",eng,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,30000,50,Ok
2663,"Nina George, Simon Pare",2013,The Little Paris Bookshop,eng,https://images.gr-assets.com/books/1412462018m/23278537.jpg,30000,50,Ok
2664,Ian McEwan,2012,Sweet Tooth,eng,https://images.gr-assets.com/books/1344373046m/13562049.jpg,30000,50,Ok
2665,Abbi Glines,2013,"Twisted Perfection (Rosemary Beach, #5; Perfection, #1)",eng,https://images.gr-assets.com/books/1360904964m/17333880.jpg,30000,50,Ok
2666,Tom Clancy,1996,"Executive Orders (Jack Ryan Universe, #9)",eng,https://images.gr-assets.com/books/1419127064m/19675.jpg,30000,50,Ok
2667,Ann Voskamp,2011,One Thousand Gifts: A Dare to Live Fully Right Where You Are,eng,https://images.gr-assets.com/books/1393970725m/8592946.jpg,30000,50,Ok
2668,Robert Bloch,1959,Psycho,eng,https://images.gr-assets.com/books/1393286878m/156427.jpg,30000,50,Ok
2669,Robin Hobb,1998,"Ship of Magic (Liveship Traders, #1)",eng,https://images.gr-assets.com/books/1360507722m/45100.jpg,30000,50,Ok
2670,"Alistair MacLean, Clint Willis",1967,Where Eagles Dare ,,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,30000,50,Ok
2671,Maeve Binchy,1990,Circle of Friends,eng,https://images.gr-assets.com/books/1342486126m/41977.jpg,30000,50,Ok
2672,Rupi Kaur,2014,Milk and Honey,eng,https://images.gr-assets.com/books/1491595510m/23513349.jpg,30000,50,Ok
2673,Tom Clancy,1998,"Rainbow Six (Jack Ryan Universe, #10)",en-US,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,30000,50,Ok
2674,Neil Gaiman,2006,Fragile Things: Short Fictions and Wonders,eng,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,30000,50,Ok
2675,Rosamund Lupton,2010,Sister,eng,https://images.gr-assets.com/books/1320189763m/8196732.jpg,30000,50,Ok
2676,"Liu Cixin, Ken Liu",2007,"The Three-Body Problem (Remembrance of Earth’s Past, #1)",eng,https://images.gr-assets.com/books/1415428227m/20518872.jpg,30000,50,Ok
